nro,status_code,elapsed_ms,relative_time_s,timestamp
95,200,247.5,24.271,2026-05-28T22:38:44.815
96,200,249.26,24.52,2026-05-28T22:38:45.065
97,200,250.87,24.771,2026-05-28T22:38:45.315
98,200,260.25,25.032,2026-05-28T22:38:45.576
99,200,267.92,25.299,2026-05-28T22:38:45.844
100,200,257.77,25.557,2026-05-28T22:38:46.101
101,429,179.33,25.737,2026-05-28T22:38:46.281
102,429,177.53,25.914,2026-05-28T22:38:46.459
103,429,181.05,26.096,2026-05-28T22:38:46.640
104,429,182.7,26.278,2026-05-28T22:38:46.823
105,429,180.84,26.459,2026-05-28T22:38:47.004
